date,wearer,slug,name
2016-11-22,norm,space-lego,Space Lego
2016-11-23,norm,rainbow-worrier,Rainbow worrier
2016-11-24,norm,the-kestrel,The Kestrel
2016-11-25,norm,ammu-nation,Ammu-nation
2016-11-26,norm,the-many-faces-of-wash,The many faces of Wash
2016-11-27,norm,exit-pursued-by-a-bear,"Exit, pursued by a bear"
2016-11-28,norm,everything-is-a-remix,Everything is a remix
2016-11-30,norm,making-friends,Making friends
2016-12-01,norm,winter-is-coming-charlie-brown,"Winter is Coming, Charlie Brown!"
2016-12-02,norm,jessica,Jessica
2016-12-03,norm,blips-and-chitz,Blips and Chitz
2016-12-04,norm,fire-eagle-pre-launch-version-no-branding-on-the-b,Fire Eagle pre-launch version (no branding on the back)
2016-12-05,norm,buffy-slayer-of-the-vampyres,"Buffy, slayer of the vampyres"
2016-12-06,norm,pirate,Pirate
2016-12-07,norm,firewatch,Firewatch
2016-12-08,norm,golem-heart,Golem heart
2016-12-09,norm,vigilo-confido,Vigilo confido
2016-12-10,norm,mutare-ad-custodiam,Mutare ad custodiam
2016-12-11,norm,portal-gun,Portal gun
2016-12-12,norm,hello-clarice,Hello Clarice
2016-12-13,norm,hello-squirrel,Hello… Squirrel!
2016-12-14,norm,hello-bitches,Hello bitches
2016-12-15,norm,hello-sweetie,"Hello, Sweetie"
2016-12-16,norm,ugly-christmas-sweater,Ugly Christmas sweater
2016-12-17,norm,hello-my-name-is,"Hello, my name is…"
2016-12-18,norm,hello-tiger,Hello Tiger
2016-12-19,norm,vigilo-confido,Vigilo confido
2016-12-20,norm,mutare-ad-custodiam,Mutare ad custodiam
2016-12-21,norm,in-the-zone,In the zone
2016-12-22,norm,firewatch,Firewatch
2016-12-23,norm,red-five,Red Five
2016-12-24,norm,portal-gun,Portal gun
2016-12-25,norm,dasher-dancer-prancer-vixen-comet-cupid-donner-bli,Dasher & Dancer & Prancer & Vixen & Comet & Cupid & Donner & Blitzen
2016-12-26,norm,lovelace-and-babbage,Lovelace and Babbage
2016-12-27,norm,london,London
2016-12-28,norm,dead-fish,Dead Fish
2016-12-29,norm,dont-get-cocky,Don't get cocky
2016-12-30,norm,indiana-mouse,Indiana Mouse
2016-12-31,norm,foxhound-special-forces,FOXHOUND Special Forces
2017-01-01,norm,serverless-conference-london,Serverless conference London
2017-01-02,norm,legosaurus,Legosaurus
2017-01-03,norm,controle-el-caos,Controle el caos
2017-01-04,norm,vigilo-confido,Vigilo confido
2017-01-05,norm,mutare-ad-custodiam,Mutare ad custodiam
